TITLE,PRICE(INR),RATING,RATING COUNTS,LINK
"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.0 out of 5 stars,205,https://www.amazon.in/ROZEN-School-partition-Collage-Backpack/dp/B0BRTDXVZC/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-95
ADISA Laptop Backpack 31 Ltrs,399,4.0 out of 5 stars,"9,048",https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-96
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,778,4.0 out of 5 stars,"13,648",https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-97
Gear Campus8 25L Water Resistant School Bag/Backpack/College Bag for Men/Women - Green Grey,674,4.1 out of 5 stars,"1,248",https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-98
Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2 out of 5 stars,"20,860",https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-99
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0 out of 5 stars,"5,626",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1692707389&sprefix=ba%2Caps%2C283&sr=8-100
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.4 out of 5 stars,89,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDQ0MDE1OTU4MjM1NTk4OjE2OTI3MDczODk6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_101_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707389%26sprefix%3Dba%252Caps%252C283%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2 out of 5 stars,179,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDQ0MDE1OTU4MjM1NTk4OjE2OTI3MDczODk6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_102_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707389%26sprefix%3Dba%252Caps%252C283%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",499,3.0 out of 5 stars,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTQyOTgxNjA4OTY5NTk4OjE2OTI3MDcyMjk6c3BfYXRmOjMwMDAxNjYxODE5NjUzMjo6MDo6&url=%2FZebronics-Compartment-Backpacks-15-6-inch-Black%2Fdp%2FB0C6KZS555%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707229%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",799,5.0 out of 5 stars,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTQyOTgxNjA4OTY5NTk4OjE2OTI3MDcyMjk6c3BfYXRmOjMwMDAxNjYxODE5NjIzMjo6MDo6&url=%2FZEBRONICS-Techshield-A3-Compartment-Backpacks%2Fdp%2FB0C6QWBRSB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707229%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
